days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,Arora Dr. Amar A R-II_B1_B AR-152 A-203 Com Lab,Arora Dr. Amar A R-II_B1_B AR-152 A-203 Com Lab,Singh Dr. Arti A R-II_B1 AR-104 A-306,Nimanpure Dr. Subhas A R-II_B1 AR-116 A-306,,Arora Dr. Amar A R-II_B1 AR-102 A-104,,
Mo,Nimanpure Dr. Subhas A R-II_B1_A AR-160 AUB-05-Electrical Lab,Nimanpure Dr. Subhas A R-II_B1_A AR-160 AUB-05-Electrical Lab,,,,,,
Tu,,Nimanpure Dr. Subhas A R-II_B1 AR-116 A-306,Rana Dr. Pooja A R-II_B1 AR-118 A-306,Arora Dr. Amar A R-II_B1 AR-102 A-306,,Singh Dr. Arti A R-II_B1 AR-104 A-306,,
We,Nimanpure Dr. Subhas A R-II_B1_B AR-160 AUB-05-Electrical Lab,Nimanpure Dr. Subhas A R-II_B1_B AR-160 AUB-05-Electrical Lab,Kalonia Ms. Ritu A R-II_B1_B AR-166 AUB-03 Com Lab,Kalonia Ms. Ritu A R-II_B1_B AR-166 AUB-03 Com Lab,,Singh Dr. Sakshi A R-II_B1 AR-120 A-306,Rana Dr. Pooja A R-II_B1 AR-118 A-306,
We,Arora Dr. Amar A R-II_B1_A AR-152 AUB-03 Com Lab,Arora Dr. Amar A R-II_B1_A AR-152 AUB-03 Com Lab,Rana Dr. Pooja A R-II_B1_A AR-162 A-002 Chem Lab,Rana Dr. Pooja A R-II_B1_A AR-162 A-002 Chem Lab,,,,
Th,,Nimanpure Dr. Subhas A R-II_B1 AR-116 A-306,Rana Dr. Pooja A R-II_B1_B AR-162 A-002 Chem Lab,Rana Dr. Pooja A R-II_B1_B AR-162 A-002 Chem Lab,,Arora Dr. Amar A R-II_B1 AR-102 A-402,Singh Dr. Sakshi A R-II_B1 AR-120 A-402,
Th,,,Baghel Dr. Pushp Kumar A R-II_B1_A AR-164 AUB ED Lab,Baghel Dr. Pushp Kumar A R-II_B1_A AR-164 AUB ED Lab,,,,
Fr,,,Singh Dr. Arti A R-II_B1 AR-104 A-306,Rana Dr. Pooja A R-II_B1 AR-118 A-306,,Singh Dr. Sakshi A R-II_B1 AR-120 A-306,Kalonia Ms. Ritu A R-II_B1_A AR-166 AUB-04 Com Lab,Kalonia Ms. Ritu A R-II_B1_A AR-166 A-203 Com Lab
Fr,,,,,,,Baghel Dr. Pushp Kumar A R-II_B1_B AR-164 AUB ED Lab,Baghel Dr. Pushp Kumar A R-II_B1_B AR-164 AUB ED Lab
