days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,Aggarwal Dr. Ritu AIML-II_B1 AR-108 A-404,Chowdhury Dr. Sushobhan AIML-II_B1 AR-114 A-404,Dr. Jyoti AIML-II_B1 AR-104 A-404,,Hooda Dr. Chetana AIML-II_B1 AR-110 A-404,Chowdhury Dr. Sushobhan AIML-II_B1 AR-112 A-103,
Tu,,Chowdhury Dr. Sushobhan AIML-II_B1 AR-114 A-404,Dr. Jyoti AIML-II_B1 AR-104 A-404,Lalit Dr. Ruchika AIML-II_B1 AR-102 A-404,,Shankar Dr. Shashi AIML-II_B1 AR-106 A-404,Parlewar Dr. Manisha AIML-II_B1_B AR-154 AUB-06,Parlewar Dr. Manisha AIML-II_B1_B AR-154 AUB-06
Tu,,,,,,,Aggarwal Dr. Ritu AIML-II_B1_A AR-156 AUB-01 Phy Lab,Aggarwal Dr. Ritu AIML-II_B1_A AR-156 AUB-01 Phy Lab
We,,Shankar Dr. Shashi AIML-II_B1 AR-106 A-404,Lalit Dr. Ruchika AIML-II_B1_B AR-152 A-007 Com Lab,Lalit Dr. Ruchika AIML-II_B1_B AR-152 A-007 Com Lab,,Chowdhury Dr. Sushobhan AIML-II_B1 AR-112 A-105,Lalit Dr. Ruchika AIML-II_B1_A AR-152 A-203 Com Lab,Lalit Dr. Ruchika AIML-II_B1_A AR-152 A-203 Com Lab
We,,,Kumar Dr. Manoj AIML-II_B1_A AR-154 AUB-06,Kumar Dr. Manoj AIML-II_B1_A AR-154 AUB-06,,,Chowdhury Dr. Sushobhan AIML-II_B1_B AR-158 A-003 Chem Lab,Chowdhury Dr. Sushobhan AIML-II_B1_B AR-158 A-003 Chem Lab
Th,,Hooda Dr. Chetana AIML-II_B1 AR-110 A-404,Aggarwal Dr. Ritu AIML-II_B1 AR-108 A-404,Lalit Dr. Ruchika AIML-II_B1 AR-102 A-404,,Shankar Dr. Shashi AIML-II_B1 AR-106 A-404,Dr. Jyoti AIML-II_B1 AR-104 A-404,
Fr,,Lalit Dr. Ruchika AIML-II_B1 AR-102 A-404,Aggarwal Dr. Ritu AIML-II_B1 AR-108 A-404,,Aggarwal Dr. Ritu AIML-II_B1_B AR-156 AUB-02 Phy Lab,Aggarwal Dr. Ritu AIML-II_B1_B AR-156 AUB-02 Phy Lab,,
Fr,,,,,Chowdhury Dr. Sushobhan AIML-II_B1_A AR-158 A-003 Chem Lab,Chowdhury Dr. Sushobhan AIML-II_B1_A AR-158 A-003 Chem Lab,,
