days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314T A-202,Hooda Dr. Chetana IIOT-VI_B2 HSAR-302 A-202,Kumar Dr. Manoj IIOT-VI_B2 ARI-304 A-406,"Baghel Dr. Pushp Kumar IIOT-VI_B1, IIOT-VI_B2 ARO-376 A-202",,Kumar Mr. Anuj IIOT-VI_B2 ARO-374 A-202,Batra Prof. Kriti IIOT-VI_B2 ARI-306 A-406,Kumar Dr. Manoj IIOT-VI_B2 ARI-304 A-406
Mo,,,,"Kalonia Ms. Ritu IIOT-VI_B1, IIOT-VI_B2 ARO-380 A-209",,,,
Tu,Kumar Dr. Manoj IIOT-VI_B2 ARI-304 A-105,Dalal Dr. Renu IIOT-VI_B2 ARI-322T A-202,Batra Prof. Kriti IIOT-VI_B2 ARI-306 A-202,,Kumar Mr. Anuj IIOT-VI_B2 ARO-374 A-202,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314T A-202,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314T A-202,
We,Hooda Dr. Chetana IIOT-VI_B2 HSAR-302 A-202,Dalal Dr. Renu IIOT-VI_B2 ARI-322T A-202,Batra Prof. Kriti IIOT-VI_B2 ARI-306 A-202,,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314P A-203 Com Lab,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314P A-203 Com Lab,"Baghel Dr. Pushp Kumar IIOT-VI_B1, IIOT-VI_B2 ARO-376 A-202",
We,,,,,,,"Kalonia Ms. Ritu IIOT-VI_B1, IIOT-VI_B2 ARO-380 A-209",
Th,Kumar Dr. Manoj IIOT-VI_B2 ARI-354 A-007 Com Lab,Kumar Dr. Manoj IIOT-VI_B2 ARI-354 A-007 Com Lab,Kumar Mr. Anuj IIOT-VI_B2 ARO-374 A-202,,"Baghel Dr. Pushp Kumar IIOT-VI_B1, IIOT-VI_B2 ARO-376 A-202",Dalal Dr. Renu IIOT-VI_B2 ARI-322T A-202,Dalal Dr. Renu IIOT-VI_B2 ARI-322T A-202,Singh Dr. Sanjay Kumar IIOT-VI_B2 ARI-314T A-202
Th,,,,,"Kalonia Ms. Ritu IIOT-VI_B1, IIOT-VI_B2 ARO-380 A-209",,,
Fr,Chopra Dr. Khyati IIOT-VI_B2 ARI-356 A-203 Com Lab,Chopra Dr. Khyati IIOT-VI_B2 ARI-356 A-203 Com Lab,Kumar Dr. Manoj IIOT-VI_B2 ARI-304 A-202,,Dalal Dr. Renu IIOT-VI_B2 ARI-322P AUB-04 Com Lab,Dalal Dr. Renu IIOT-VI_B2 ARI-322P AUB-04 Com Lab,Batra Prof. Kriti IIOT-VI_B2 ARI-306 A-202,
