days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,,Aggarwal Dr. Ritu AIML-II_B2 AR-108 A-405,Shankar Dr. Shashi AIML-II_B2 AR-106 A-405,,Bhatia Dr. Anshul AIML-II_B2 AR-102 A-405,Dr. Jyoti AIML-II_B2 AR-104 A-405,
Tu,Aggarwal Dr. Ritu AIML-II_B2_B AR-156 AUB-01 Phy Lab,Aggarwal Dr. Ritu AIML-II_B2_B AR-156 AUB-01 Phy Lab,Bhatia Dr. Anshul AIML-II_B2 AR-102 A-405,Aggarwal Dr. Ritu AIML-II_B2 AR-108 A-405,,Dr. Jyoti AIML-II_B2 AR-104 A-405,Chowdhury Dr. Sushobhan AIML-II_B2 AR-112 A-405,Shankar Dr. Shashi AIML-II_B2 AR-106 A-405
Tu,Dr. Annu Priya AIML-II_B2_A AR-154 AUB-06,Dr. Annu Priya AIML-II_B2_A AR-154 AUB-06,,,,,,
We,,Dr. Jyoti AIML-II_B2 AR-114 A-405,Dr. Jyoti AIML-II_B2 AR-114 A-405,,Khurshid Bijli Ms. Mahvish AIML-II_B2_B AR-152 A-204 Com Lab,Khurshid Bijli Ms. Mahvish AIML-II_B2_B AR-152 A-204 Com Lab,,
We,,,,,Aggarwal Dr. Ritu AIML-II_B2_A AR-156 AUB-01 Phy Lab,Aggarwal Dr. Ritu AIML-II_B2_A AR-156 AUB-01 Phy Lab,,
Th,Dr. Annu Priya AIML-II_B2_B AR-154 AUB-06,Dr. Annu Priya AIML-II_B2_B AR-154 AUB-06,Hooda Dr. Chetana AIML-II_B2 AR-110 A-405,Aggarwal Dr. Ritu AIML-II_B2 AR-108 A-405,,Hooda Dr. Chetana AIML-II_B2 AR-110 A-405,Khurshid Bijli Ms. Mahvish AIML-II_B2_A AR-152 AUB-03 Com Lab,Khurshid Bijli Ms. Mahvish AIML-II_B2_A AR-152 AUB-03 Com Lab
Th,Chowdhury Dr. Sushobhan AIML-II_B2_A AR-158 A-003 Chem Lab,Chowdhury Dr. Sushobhan AIML-II_B2_A AR-158 A-003 Chem Lab,,,,,Chowdhury Dr. Sushobhan AIML-II_B2_B AR-158 A-003 Chem Lab,Chowdhury Dr. Sushobhan AIML-II_B2_B AR-158 A-003 Chem Lab
Fr,,Dr. Jyoti AIML-II_B2 AR-104 A-405,Chowdhury Dr. Sushobhan AIML-II_B2 AR-112 A-405,,Shankar Dr. Shashi AIML-II_B2 AR-106 A-405,Bhatia Dr. Anshul AIML-II_B2 AR-102 A-405,,
