days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,,AR Guest 1 IIOT-II_B1_B AR-164 AUB ED Lab,AR Guest 1 IIOT-II_B1_B AR-164 AUB ED Lab,,Lakhanpal Mr. Anupam IIOT-II_B1 AR-122 A-103,Dandapat Dr. Anirban IIOT-II_B1_B AR-162 A-002 Chem Lab,Dandapat Dr. Anirban IIOT-II_B1_B AR-162 A-002 Chem Lab
Mo,,,,,,,Mr. Shakin IIOT-II_B1_A AR-166 AUB-04 Com Lab,Mr. Shakin IIOT-II_B1_A AR-166 AUB-04 Com Lab
Tu,Lakhanpal Mr. Anupam IIOT-II_B1 AR-122 A-103,Lakhanpal Mr. Anupam IIOT-II_B1 AR-122 A-103,Singh Dr. Neeta IIOT-II_B1 AR-116 A-103,,Bhatia Dr. Anshul IIOT-II_B1_A AR-152 AUB-04 Com Lab,Bhatia Dr. Anshul IIOT-II_B1_A AR-152 AUB-04 Com Lab,Dandapat Dr. Anirban IIOT-II_B1 AR-118 A-103,
Tu,,,,,Singh Dr. Neeta IIOT-II_B1_B AR-160 AUB-05-Electrical Lab,Singh Dr. Neeta IIOT-II_B1_B AR-160 AUB-05-Electrical Lab,,
We,,Singh Dr. Neeta IIOT-II_B1 AR-116 A-103,Mr. Shakin IIOT-II_B1_B AR-166 AUB-04 Com Lab,Mr. Shakin IIOT-II_B1_B AR-166 AUB-04 Com Lab,,Bhatia Dr. Anshul IIOT-II_B1 AR-102 A-103,Dr. Jyoti IIOT-II_B1 AR-104 A-103,
We,,,Singh Dr. Neeta IIOT-II_B1_A AR-160 AUB-05-Electrical Lab,Singh Dr. Neeta IIOT-II_B1_A AR-160 AUB-05-Electrical Lab,,,,
Th,,Bhatia Dr. Anshul IIOT-II_B1 AR-102 A-103,Dr. Jyoti IIOT-II_B1 AR-104 A-103,,Dandapat Dr. Anirban IIOT-II_B1_A AR-162 A-002 Chem Lab,Dandapat Dr. Anirban IIOT-II_B1_A AR-162 A-002 Chem Lab,Dandapat Dr. Anirban IIOT-II_B1 AR-118 A-103,
Th,,,,,Bhatia Dr. Anshul IIOT-II_B1_B AR-152 A-007 Com Lab,Bhatia Dr. Anshul IIOT-II_B1_B AR-152 A-007 Com Lab,,
Fr,AR Guest 1 IIOT-II_B1_A AR-164 AUB ED Lab,AR Guest 1 IIOT-II_B1_A AR-164 AUB ED Lab,Singh Dr. Neeta IIOT-II_B1 AR-116 A-103,,Dandapat Dr. Anirban IIOT-II_B1 AR-118 A-103,Dr. Jyoti IIOT-II_B1 AR-104 A-103,Bhatia Dr. Anshul IIOT-II_B1 AR-102 A-103,
